id,input_lang,prompt,target,rag_prompt_2,rag_prompt_5,rag_prompt_10
83_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英走到厨房。明浩去了卫生间。简走到走廊上。美英朝卧室走去。
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",浴室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩去了卫生间。 美英朝卧室走去.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩去了卫生间。 美英朝卧室走去。 简走到走廊上。 美英走到厨房.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩去了卫生间。 美英朝卧室走去。 简走到走廊上。 美英走到厨房.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
53_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英回到卧室。丽华搬到了厨房。丽华搬到办公室。明浩前往办公室。明浩走到走廊。简回到走廊。丽华搬到了卫生间。美英朝走廊走去。健去了花园。明浩去了厨房。
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",花园,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
健去了花园。 简回到走廊.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
健去了花园。 简回到走廊。 美英朝走廊走去。 明浩去了厨房。 明浩走到走廊.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
健去了花园。 简回到走廊。 美英朝走廊走去。 明浩去了厨房。 明浩走到走廊。 明浩前往办公室。 丽华搬到了卫生间。 美英回到卧室。 丽华搬到办公室。 丽华搬到了厨房.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
70_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩向花园走去。坚迁至花园。美英搬到了卧室。简回到办公室。简回到卧室。明浩回到卧室。简去了办公室。美英去了花园。
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",办公室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了花园。 明浩向花园走去.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了花园。 明浩向花园走去。 坚迁至花园。 明浩回到卧室。 简去了办公室.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了花园。 明浩向花园走去。 坚迁至花园。 明浩回到卧室。 简去了办公室。 美英搬到了卧室。 简回到卧室。 简回到办公室.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
45_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英搬到了花园里。简去了卧室。简走向卫生间。健去了花园。简走向卧室。美英去了办公室。美英去了卫生间。美英搬到了厨房。美英去了卧室。美英去了办公室。
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",办公室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了卫生间。 简走向卫生间.
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了卫生间。 简走向卫生间。 健去了花园。 美英去了卧室。 美英去了办公室.
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了卫生间。 简走向卫生间。 健去了花园。 美英去了卧室。 美英去了办公室。 美英去了办公室。 简走向卧室。 简去了卧室。 美英搬到了花园里。 美英搬到了厨房.
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
44_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩回到厨房。明浩搬到了办公室。明浩回到卧室。坚迁至花园。明浩前往办公室。梨花朝花园走去。
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",办公室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩前往办公室。 明浩回到厨房.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩前往办公室。 明浩回到厨房。 明浩回到卧室。 明浩搬到了办公室。 坚迁至花园.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩前往办公室。 明浩回到厨房。 明浩回到卧室。 明浩搬到了办公室。 坚迁至花园。 梨花朝花园走去.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
39_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
丽华前往办公室。梨花朝卧室走去。美英去了花园。美英搬到了厨房。美英去了卫生间。明浩搬到了办公室。简回到办公室。健去了花园。
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",浴室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了花园。 美英去了卫生间.
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了花园。 美英去了卫生间。 健去了花园。 丽华前往办公室。 梨花朝卧室走去.
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英去了花园。 美英去了卫生间。 健去了花园。 丽华前往办公室。 梨花朝卧室走去。 简回到办公室。 美英搬到了厨房。 明浩搬到了办公室.
</context>

QUESTION: 梅英在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
22_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
梨花走向卫生间。明浩又回到了走廊。美英回到办公室。美英回到走廊。简回到浴室。明浩去了厨房。简搬到了厨房。明浩去了卧室。美英向厨房走去。简搬到了卧室。
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",卧室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英向厨房走去。 明浩去了卧室.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英向厨房走去。 明浩去了卧室。 明浩又回到了走廊。 明浩去了厨房。 美英回到走廊.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
美英向厨房走去。 明浩去了卧室。 明浩又回到了走廊。 明浩去了厨房。 美英回到走廊。 梨花走向卫生间。 简回到浴室。 美英回到办公室。 简搬到了卧室。 简搬到了厨房.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
80_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩向卧室走去。美英回到办公室。明浩去了花园。简回到浴室。梨花走到厨房。简走到走廊上。
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",门厅,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩向卧室走去。 明浩去了花园.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩向卧室走去。 明浩去了花园。 简走到走廊上。 简回到浴室。 美英回到办公室.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩向卧室走去。 明浩去了花园。 简走到走廊上。 简回到浴室。 美英回到办公室。 梨花走到厨房.
</context>

QUESTION: 健在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
10_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
丽华去了厨房。简回到厨房。明浩又回到了走廊。明浩去了卫生间。美英去了卫生间。美英走到卧室。明浩去了厨房。明浩搬到了办公室。
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",办公室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩去了卫生间。 明浩又回到了走廊.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩去了卫生间。 明浩又回到了走廊。 明浩去了厨房。 明浩搬到了办公室。 美英去了卫生间.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
明浩去了卫生间。 明浩又回到了走廊。 明浩去了厨房。 明浩搬到了办公室。 美英去了卫生间。 美英走到卧室。 丽华去了厨房。 简回到厨房.
</context>

QUESTION: 明浩在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
0_zh,zh,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
简走到走廊上。梨花向卫生间走去。明浩又回到了卫生间。简搬到了卧室。
</context>

QUESTION: 丽华在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",浴室,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
简走到走廊上。 梨花向卫生间走去.
</context>

QUESTION: 丽华在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
简走到走廊上。 梨花向卫生间走去。 简搬到了卧室。 明浩又回到了卫生间.
</context>

QUESTION: 丽华在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
简走到走廊上。 梨花向卫生间走去。 简搬到了卧室。 明浩又回到了卫生间.
</context>

QUESTION: 丽华在哪里？?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
