id,input_lang,prompt,target,rag_prompt_2,rag_prompt_5,rag_prompt_10,rag_prompt_2_inference,rag_prompt_5_inference,rag_prompt_10_inference
83_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


संगीता रसोई में पहुंची। ध्रुव बाथरूम की ओर चला गया। जय दालान में चला गया। संगीता शयनकक्ष की ओर चली गई।


</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",स्नानघर,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई। जय दालान में चला गया। संगीता रसोई में पहुंची.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई। जय दालान में चला गया। संगीता रसोई में पहुंची.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""ध्रुव बाथरूम के पस है""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई। जय दालान में चला गया। संगीता रसोई में पहुंची.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""रसोई""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई। जय दालान में चला गया। संगीता रसोई में पहुंची.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""रसोई""
}</s>"
53_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


संगीता वापस शयनकक्ष में चली गयी। मीरा रसोई की ओर चली गई। मीरा ऑफिस चली गयी। ध्रुव ने कार्यालय की यात्रा की। ध्रुव ने दालान की ओर यात्रा की। जय वापस दालान में चला गया। मीरा बाथरूम में चली गयी। संगीता ने दालान की ओर यात्रा की। जय बगीचे में चला गया। ध्रुव रसोई में गया।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",बगीचा,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया। संगीता ने दालान की ओर यात्रा की। ध्रुव ने दालान की ओर यात्रा की। मीरा ऑफिस चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया। संगीता ने दालान की ओर यात्रा की। ध्रुव ने दालान की ओर यात्रा की। मीरा ऑफिस चली गयी। ध्रुव ने कार्यालय की यात्रा की। मीरा बाथरूम में चली गयी। मीरा रसोई की ओर चली गई। ध्रुव रसोई में गया। संगीता वापस शयनकक्ष में चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}
{
    ""ANSWER"": ""जय वापस दालान में है""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया। संगीता ने दालान की ओर यात्रा की। ध्रुव ने दालान की ओर यात्रा की। मीरा ऑफिस चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}
{
    ""ANSWER"": ""जय दालान हैं जय वापस दालान में""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया। संगीता ने दालान की ओर यात्रा की। ध्रुव ने दालान की ओर यात्रा की। मीरा ऑफिस चली गयी। ध्रुव ने कार्यालय की यात्रा की। मीरा बाथरूम में चली गयी। मीरा रसोई की ओर चली गई। ध्रुव रसोई में गया। संगीता वापस शयनकक्ष में चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""जय दालान में है""
}</s>"
70_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


ध्रुव ने बगीचे की ओर यात्रा की। जय बगीचे में चला गया। संगीता बेडरूम में चली गयी। जय वापस ऑफिस चला गया। जय वापस शयनकक्ष में चला गया। ध्रुव वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। संगीता बगीचे में चली गयी।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",कार्यालय,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। जय वापस ऑफिस चला गया। ध्रुव ने बगीचे की ओर यात्रा की.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। जय वापस ऑफिस चला गया। ध्रुव ने बगीचे की ओर यात्रा की। संगीता बगीचे में चली गयी। ध्रुव वापस शयनकक्ष में चला गया। संगीता बेडरूम में चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}
{
    ""ANSWER"": ""जय बगीचे में है""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। जय वापस ऑफिस चला गया। ध्रुव ने बगीचे की ओर यात्रा की.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}
{
    ""ANSWER"": ""जय वापस ऑफिस में है""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। जय वापस ऑफिस चला गया। ध्रुव ने बगीचे की ओर यात्रा की। संगीता बगीचे में चली गयी। ध्रुव वापस शयनकक्ष में चला गया। संगीता बेडरूम में चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": {
        ""PERSON"": ""Jay"",
        ""LOCATION"": ""Office""
    }
}

<context>
जय बगीचे में चला गया। "
45_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


संगीता बगीचे में चली गयी। जय बेडरूम में चला गया। जय बाथरूम में चला गया। जय बगीचे में चला गया। जय शयनकक्ष की ओर चला गया। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बेडरूम में चली गयी। संगीता ऑफिस चली गयी।


</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",कार्यालय,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता बेडरूम में चली गयी। संगीता रसोई में चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता बेडरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। जय शयनकक्ष की ओर चला गया। जय बगीचे में चला गया। जय बेडरूम में चला गया। जय बाथरूम में चला गया.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""संगीता का स्थान नहीं दिया गया है इस टेक्स्ट में""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता बेडरूम में चली गयी। संगीता रसोई में चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""One of the mentioned locations is a kitchen (rasooi mein chali gayi). Since people usually don't work in multiple rooms at the same time, it's safe to assume that's where Sangita currently is.""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता बेडरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। जय शयनकक्ष की ओर चला गया। जय बगीचे में चला गया। जय बेडरूम में चला गया। जय बाथरूम में चला गया.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""The last mentioned location of Sangita is not explicitly stated in the text. However, based on the order of the mentions, it can be inferred that the last location of Sangita is either in a bathroom, a bedroom, or a garden."""
44_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


ध्रुव वापस रसोई में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस शयनकक्ष में चला गया। जय बगीचे में चला गया। ध्रुव ने कार्यालय की यात्रा की। मीरा ने बगीचे की ओर यात्रा की।


</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",कार्यालय,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस रसोई में चला गया। ध्रुव ने कार्यालय की यात्रा की। जय बगीचे में चला गया.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस रसोई में चला गया। ध्रुव ने कार्यालय की यात्रा की। जय बगीचे में चला गया। मीरा ने बगीचे की ओर यात्रा की.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""ध्रुव ऑफिस में है""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस रसोई में चला गया। ध्रुव ने कार्यालय की यात्रा की। जय बगीचे में चला गया.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""ध्रुव किसी स्थान पर नहीं दिग्वज्जित किया गया है जिससे","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस रसोई में चला गया। ध्रुव ने कार्यालय की यात्रा की। जय बगीचे में चला गया। मीरा ने बगीचे की ओर यात्रा की.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""ध्रुव कहीं नहीं दिया गया है किया जाता है या है""
}

The text"
39_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


मीरा ने कार्यालय की ओर प्रस्थान किया। मीरा शयनकक्ष की ओर बढ़ी। संगीता बगीचे में चली गयी। संगीता रसोई में चली गयी। संगीता बाथरूम में चली गयी। ध्रुव ऑफिस चला गया। जय वापस ऑफिस चला गया। जय बगीचे में चला गया।


</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",स्नानघर,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। ध्रुव ऑफिस चला गया। मीरा शयनकक्ष की ओर बढ़ी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। ध्रुव ऑफिस चला गया। मीरा शयनकक्ष की ओर बढ़ी। जय बगीचे में चला गया। जय वापस ऑफिस चला गया। मीरा ने कार्यालय की ओर प्रस्थान किया.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""संगीता बाथरूम में है""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। ध्रुव ऑफिस चला गया। मीरा शयनकक्ष की ओर बढ़ी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""The context does not provide enough information to determine the current location of Sangita.""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। ध्रुव ऑफिस चला गया। मीरा शयनकक्ष की ओर बढ़ी। जय बगीचे में चला गया। जय वापस ऑफिस चला गया। मीरा ने कार्यालय की ओर प्रस्थान किया.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""The context does not provide enough information to determine the current location of Sangita.""
}</s>"
22_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


मीरा ने बाथरूम की ओर यात्रा की। ध्रुव वापस दालान में चला गया। संगीता वापस ऑफिस चली गई। संगीता वापस दालान में चली गयी। जय वापस बाथरूम में चला गया। ध्रुव रसोई में चला गया। जय रसोई में चला गया। ध्रुव शयन कक्ष में चला गया। संगीता रसोई की ओर बढ़ी। जय शयनकक्ष में चला गया।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",सोने का कमरा,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया। जय वापस बाथरूम में चला गया। ध्रुव शयन कक्ष में चला गया। ध्रुव वापस दालान में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया। जय वापस बाथरूम में चला गया। ध्रुव शयन कक्ष में चला गया। ध्रुव वापस दालान में चला गया। मीरा ने बाथरूम की ओर यात्रा की। ध्रुव रसोई में चला गया। संगीता वापस दालान में चली गयी। संगीता रसोई की ओर बढ़ी। संगीता वापस ऑफिस चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}
{
    ""ANSWER"": ""जय कहाँ जाने वाला नहीं बताया गया है।""
}

The text does not provide enough information to determine the current","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया। जय वापस बाथरूम में चला गया। ध्रुव शयन कक्ष में चला गया। ध्रुव वापस दालान में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""जय कहीं नहीं दिया गया है किस स्थान पर है""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया। जय वापस बाथरूम में चला गया। ध्रुव शयन कक्ष में चला गया। ध्रुव वापस दालान में चला गया। मीरा ने बाथरूम की ओर यात्रा की। ध्रुव रसोई में चला गया। संगीता वापस दालान में चली गयी। संगीता रसोई की ओर बढ़ी। संगीता वापस ऑफिस चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""जय कहीं नहीं दिया गया है किस स्थान पर है""
}

The text does not provide enough information to"
80_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


ध्रुव शयनकक्ष की ओर चला गया। संगीता वापस ऑफिस चली गई। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। मीरा रसोई की ओर चली गई। जय दालान में चला गया।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",दालान,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। ध्रुव शयनकक्ष की ओर चला गया। मीरा रसोई की ओर चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। ध्रुव शयनकक्ष की ओर चला गया। मीरा रसोई की ओर चली गई। संगीता वापस ऑफिस चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}

{
    ""ANSWER"": ""जय दालान is on a journey.""
}

This question asks for the current location of Jay Dalalan, but the context does not provide that information. The context only states that Jay Dalalan is on a journey","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। ध्रुव शयनकक्ष की ओर चला गया। मीरा रसोई की ओर चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}
{
    ""ANSWER"": ""बाथरूम""
}</s>","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। ध्रुव शयनकक्ष की ओर चला गया। मीरा रसोई की ओर चली गई। संगीता वापस ऑफिस चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}
{
    ""ANSWER"": ""बाथरूम""
}</s>"
